# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
JH126644	1037919	1038114	*	lcm_circ_0000352	195	195	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126579	3982086	3986347	*	lcm_circ_0000561	4261	4261	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126562	10106564	10107420	+	lcm_circ_0000166	856	130	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000021937	akr7a3	Nitsche2013
JH127645	197778	198013	-	lcm_circ_0000223	235	235	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000006836	TPI1	Nitsche2013
JH127189	700684	703459	+	lcm_circ_0000094	2775	220	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000014000	CWC15	Nitsche2013
JH127819	511157	511334	+	lcm_circ_0000504	177	177	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	ENSLACT00000024940	ATP2A1	Nitsche2013
JH127905	427462	432811	+	lcm_circ_0000307	5349	198	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000010250	NR2C1	Nitsche2013
JH127777	233552	237020	-	lcm_circ_0000617	3468	98	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000006688	PKM	Nitsche2013
JH127028	220783	220941	+	lcm_circ_0000385	158	158	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000006409	SERBP1	Nitsche2013
JH126721	923819	924044	-	lcm_circ_0000682	225	225	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000015866	NUP133	Nitsche2013
JH128364	436924	452473	-	lcm_circ_0000245	15549	374	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000010759	ENSLACG00000009407	Nitsche2013
JH126627	520849	523507	-	lcm_circ_0000139	2658	159	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000012026	ldha	Nitsche2013
JH126593	1315338	1458885	*	lcm_circ_0000459	143547	143547	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127044	146093	146264	*	lcm_circ_0000287	171	171	muscle	None	INTERGENIC	None	None	Nitsche2013
JH129232	17312	18261	+	lcm_circ_0000610	949	155	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000000023	MYOM2	Nitsche2013
JH126593	2293358	2293582	*	lcm_circ_0000451	224	224	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127819	499911	501506	+	lcm_circ_0000505	1595	360	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000024940	ATP2A1	Nitsche2013
JH127792	205545	205714	*	lcm_circ_0000209	169	169	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126577	824987	826049	-	lcm_circ_0000302	1062	312	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, OVCODE, OVEXON, upstream_start	ENSLACT00000014847	TPM1	Nitsche2013
JH127324	811577	817538	+	lcm_circ_0000332	5961	396	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000014866	DNAJC27	Nitsche2013
JH126583	1192653	1192841	-	lcm_circ_0000325	188	188	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000017362	PGAM2	Nitsche2013
JH126778	1580170	1580422	-	lcm_circ_0000715	252	252	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000018818	SVIL	Nitsche2013
JH128167	198812	199053	-	lcm_circ_0000264	241	241	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000006891	FAM162B	Nitsche2013
JH127638	256739	257251	-	lcm_circ_0000065	512	512	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, downstream_end, intronic, OVCODE, OVEXON	ENSLACT00000008110	asph	Nitsche2013
JH127645	198287	200387	-	lcm_circ_0000234	2100	165	muscle	None	ALT_ACCEPTOR, CDS, coding, OVCODE, OVEXON	ENSLACT00000006837	TPI1	Nitsche2013
JH127617	263537	284232	+	lcm_circ_0000177	20695	11452	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, OVCODE, OVEXON, upstream_start	ENSLACT00000008440	TNNI2	Nitsche2013
JH126578	3057972	3060788	-	lcm_circ_0000648	2816	322	muscle	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000020991	GLTSCR2	Nitsche2013
JH126819	684203	684322	-	lcm_circ_0000201	119	119	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000013795	IGFN1	Nitsche2013
JH127617	406195	406361	*	lcm_circ_0000185	166	166	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127268	973161	973539	+	lcm_circ_0000516	378	221	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000015854	DYNC1H1	Nitsche2013
JH126585	1724809	1729071	+	lcm_circ_0000416	4262	4262	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, OVCODE, OVEXON, upstream_start	ENSLACT00000019196	MYOZ3	Nitsche2013
JH126727	139727	142257	+	lcm_circ_0000696	2530	233	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVEXON	ENSLACT00000004872	EEF1A2	Nitsche2013
JH126583	1193547	1193787	-	lcm_circ_0000317	240	240	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000017362	PGAM2	Nitsche2013
JH127518	751298	751433	-	lcm_circ_0000671	135	135	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, OVCODE, OVEXON, upstream_start	ENSLACT00000014450	rplp1 (1 of 2)	Nitsche2013
JH126719	1840850	1841920	-	lcm_circ_0000068	1070	108	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000019418	RFC5	Nitsche2013
JH128875	56944	57150	+	lcm_circ_0000761	206	206	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000000911	GPI	Nitsche2013
JH127218	219758	220999	+	lcm_circ_0000145	1241	419	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	ENSLACT00000007266	STRIP2	Nitsche2013
JH127208	1074350	1074537	+	lcm_circ_0000052	187	187	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	ENSLACT00000016039	TTN	Nitsche2013
JH126566	4063427	4095154	-	lcm_circ_0000517	31727	395	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	ENSLACT00000021401	ENSLACG00000018681	Nitsche2013
JH126580	211627	211818	+	lcm_circ_0000009	191	191	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000007116	sdhaf2	Nitsche2013
JH126593	2926889	2927194	*	lcm_circ_0000476	305	305	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127208	1072319	1072578	+	lcm_circ_0000037	259	259	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	ENSLACT00000016039	TTN	Nitsche2013
JH126865	276501	276655	-	lcm_circ_0000494	154	154	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000008449	HSPB7	Nitsche2013
JH128645	60875	70048	+	lcm_circ_0000374	9173	9173	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVEXON	ENSLACT00000003200	ERI1	Nitsche2013
JH128683	35218	35413	*	lcm_circ_0000750	195	195	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127263	362239	362374	*	lcm_circ_0000216	135	135	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126717	978545	978908	*	lcm_circ_0000736	363	363	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126679	179867	180048	-	lcm_circ_0000269	181	181	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	ENSLACT00000004620	LDB3	Nitsche2013
JH127019	1292834	1296277	-	lcm_circ_0000663	3443	164	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000017764	SGCB	Nitsche2013
JH126572	834327	834467	-	lcm_circ_0000687	140	140	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, OVCODE, OVEXON, upstream_start	ENSLACT00000015027	CCNL1	Nitsche2013
JH126663	1081757	1082093	+	lcm_circ_0000530	336	336	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000016720	CKM	Nitsche2013
JH126624	200283	200494	*	lcm_circ_0000549	211	211	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126836	1672541	1672822	*	lcm_circ_0000112	281	281	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127073	44285	44404	*	lcm_circ_0000702	119	119	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127208	1073627	1073815	+	lcm_circ_0000048	188	188	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000016039	TTN	Nitsche2013
JH126566	4057717	4057923	-	lcm_circ_0000518	206	206	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000021401	ENSLACG00000018681	Nitsche2013
JH129212	108870	112157	-	lcm_circ_0000338	3287	981	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, downstream_end, OVCODE, OVEXON	ENSLACT00000004670	ENSLACG00000004122	Nitsche2013
JH126836	1673931	1674120	*	lcm_circ_0000114	189	189	muscle	None	INTERGENIC	None	None	Nitsche2013
JH128449	231113	241193	+	lcm_circ_0000406	10080	186	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000007443	SYNCRIP	Nitsche2013
JH127847	474975	476968	-	lcm_circ_0000595	1993	170	muscle	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000011299	COPS3	Nitsche2013
JH128348	202720	203868	+	lcm_circ_0000144	1148	144	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000006483	zgc:173994	Nitsche2013
JH127649	640527	640674	+	lcm_circ_0000624	147	147	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000013215	HTRA2	Nitsche2013
JH127645	579443	582254	-	lcm_circ_0000231	2811	370	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000012798	gapdh	Nitsche2013
JH126577	358393	359275	+	lcm_circ_0000296	882	163	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000007976	HERC1	Nitsche2013
JH128294	367695	368935	-	lcm_circ_0000150	1240	169	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000008229	PDE4DIP	Nitsche2013
JH126571	3898919	3899067	*	lcm_circ_0000366	148	148	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126567	3645640	3647952	+	lcm_circ_0000273	2312	128	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000021279	WBSCR22	Nitsche2013
JH127840	17575	18439	-	lcm_circ_0000436	864	162	muscle	None	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000001122	BECN1	Nitsche2013
JH126663	2479580	2479815	*	lcm_circ_0000528	235	235	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126576	3655716	3656482	-	lcm_circ_0000394	766	242	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000021288	ATP5F1	Nitsche2013
JH128407	53901	58238	-	lcm_circ_0000599	4337	131	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000002077	TRAK1	Nitsche2013
JH126564	382282	382460	*	lcm_circ_0000631	178	178	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127668	595766	595919	-	lcm_circ_0000659	153	153	muscle	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	ENSLACT00000013010	OAZ2	Nitsche2013
JH126754	1364447	1364633	-	lcm_circ_0000025	186	186	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, OVCODE, OVEXON, upstream_start	ENSLACT00000018076	ENSLACG00000015811	Nitsche2013
JH127045	1057740	1057849	-	lcm_circ_0000585	109	109	muscle	None	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	ENSLACT00000016676	rpl19	Nitsche2013
AFYH01287784	444	573	*	lcm_circ_0000535	129	129	muscle	None	INTERGENIC	None	None	Nitsche2013
AFYH01285157	391	536	*	lcm_circ_0000725	145	145	muscle	None	INTERGENIC	None	None	Nitsche2013
JH126659	866549	866742	+	lcm_circ_0000085	193	193	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000015305	DAZAP2	Nitsche2013
JH128734	318959	337727	*	lcm_circ_0000676	18768	18768	muscle	None	INTERGENIC	None	None	Nitsche2013
JH127537	367811	371755	+	lcm_circ_0000365	3944	612	muscle	None	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVEXON	ENSLACT00000009932	UPF3B	Nitsche2013
